Depth,Biostratigraphy,Reliability,MUD_VOLUME,TVD,GR,Core_depofacies
17.3738,-9999,2,-9999,17.3738,-9999,-9999
17.5262,-9999,2,-9999,17.5262,-9999,-9999
17.6786,-9999,2,-9999,17.6786,-9999,-9999
17.831,-9999,2,-9999,17.831,-9999,-9999
17.9834,-9999,2,-9999,17.9834,-9999,-9999
18.1358,-9999,2,-9999,18.1358,-9999,-9999
18.2882,-9999,2,-9999,18.2882,-9999,-9999
18.4406,-9999,2,-9999,18.4406,-9999,-9999
18.593,-9999,2,-9999,18.593,-9999,-9999
18.7454,-9999,2,-9999,18.7454,-9999,-9999
18.8978,-9999,2,-9999,18.8978,-9999,-9999
19.0502,-9999,2,-9999,19.0502,-9999,-9999
19.2026,-9999,2,-9999,19.2026,-9999,-9999
19.355,-9999,2,-9999,19.355,-9999,-9999
19.5074,-9999,2,-9999,19.5074,-9999,-9999
19.6598,-9999,2,-9999,19.6598,-9999,-9999
19.8122,-9999,2,-9999,19.8122,-9999,-9999
19.9646,-9999,2,-9999,19.9646,-9999,-9999
20.117,-9999,2,-9999,20.117,-9999,-9999
20.2694,-9999,2,-9999,20.2694,-9999,-9999
20.4218,-9999,2,-9999,20.4218,-9999,-9999
20.5742,-9999,2,-9999,20.5742,-9999,-9999
20.7266,-9999,2,-9999,20.7266,-9999,-9999
20.879,-9999,2,-9999,20.879,-9999,-9999
21.0314,-9999,2,-9999,21.0314,-9999,-9999
21.1838,-9999,2,-9999,21.1838,-9999,-9999
21.3362,-9999,2,-9999,21.3362,-9999,-9999
21.4886,-9999,2,-9999,21.4886,-9999,-9999
21.641,-9999,2,-9999,21.641,-9999,-9999
21.7934,-9999,2,-9999,21.7934,-9999,-9999
21.9458,-9999,2,-9999,21.9458,-9999,-9999
22.0982,-9999,2,-9999,22.0982,-9999,-9999
22.2506,-9999,2,-9999,22.2506,-9999,-9999
22.403,-9999,2,-9999,22.403,-9999,-9999
22.5554,-9999,2,-9999,22.5554,-9999,-9999
22.7078,-9999,2,-9999,22.7078,-9999,-9999
22.8602,-9999,2,-9999,22.8602,-9999,-9999
23.0126,-9999,2,-9999,23.0126,-9999,-9999
23.165,-9999,2,-9999,23.165,-9999,-9999
23.3174,-9999,2,-9999,23.3174,-9999,-9999
23.4698,-9999,2,-9999,23.4698,-9999,-9999
23.6222,-9999,2,-9999,23.6222,-9999,-9999
23.7746,-9999,2,-9999,23.7746,-9999,-9999
23.927,-9999,2,-9999,23.927,-9999,-9999
24.0794,-9999,2,-9999,24.0794,-9999,-9999
24.2318,-9999,2,-9999,24.2318,-9999,-9999
24.3842,-9999,2,-9999,24.3842,-9999,-9999
24.5366,-9999,2,-9999,24.5366,-9999,-9999
24.689,-9999,2,-9999,24.689,-9999,-9999
24.8414,-9999,2,-9999,24.8414,-9999,-9999
24.9938,-9999,2,-9999,24.9938,-9999,-9999
